distance,linear_encoder_position,measurement_delta,linear_encoder_timestamp,distance_timestamp,measurement_time_delta
"[0.6664930328584139, 0]",-871,871.6664930328584,1711821743.18483,1711821743.2651892,0.08035922050476074
"[0.6791164191095946, 0]",-871,871.6791164191096,1711821743.522245,1711821743.602161,0.07991600036621094
"[0.6663918700335749, 0]",-871,871.6663918700335,1711821743.6608312,1711821743.7405572,0.07972598075866699
"[0.6764342352888443, 0]",-871,871.6764342352889,1711821743.7962685,1711821743.8793228,0.0830543041229248
"[0.6650529426473024, 0]",-871,871.6650529426473,1711821743.9318225,1711821744.0103219,0.07849931716918945
"[0.6768493499888714, 0]",-871,871.6768493499889,1711821744.1370425,1711821744.220771,0.08372855186462402
"[0.6791598085148868, 0]",-871,871.6791598085149,1711821744.27099,1711821744.3525357,0.08154582977294922
"[0.6788856154154623, 0]",-871,871.6788856154154,1711821744.4046228,1711821744.4836726,0.07904982566833496
"[0.6746491093591653, 0]",-871,871.6746491093592,1711821744.5367794,1711821744.6187806,0.0820012092590332
"[0.6750950480053342, 0]",-871,871.6750950480053,1711821744.6703286,1711821744.7498634,0.07953476905822754
"[0.6755707076350584, 0]",-871,871.6755707076351,1711821744.8524556,1711821744.9310331,0.07857751846313477
"[0.6746582961408794, 0]",-871,871.6746582961409,1711821744.9820626,1711821745.062955,0.08089232444763184
"[0.6758414357227104, 0]",-871,871.6758414357228,1711821745.1535516,1711821745.232518,0.07896637916564941
"[0.6766193475601103, 0]",-871,871.6766193475601,1711821745.2815578,1711821745.3660634,0.08450555801391602
"[0.6746706037079926, 0]",-871,871.674670603708,1711821745.4175975,1711821745.5011466,0.08354902267456055
"[0.6744732335542217, 0]",-871,871.6744732335542,1711821745.5531416,1711821745.6307764,0.07763481140136719
"[0.6742228791708713, 0]",-871,871.6742228791709,1711821745.6797526,1711821745.7604735,0.08072090148925781
"[0.6773550822632118, 0]",-871,871.6773550822633,1711821745.8120563,1711821745.8925607,0.0805044174194336
"[0.6761437979127123, 0]",-871,871.6761437979127,1711821745.9435723,1711821746.0271404,0.08356809616088867
"[0.6740728172351172, 0]",-871,871.6740728172351,1711821746.1124525,1711821746.1913285,0.07887601852416992
"[0.6774200666187581, 0]",-871,871.6774200666188,1711821746.2436037,1711821746.3253164,0.08171272277832031
"[0.6734341552261941, 0]",-871,871.6734341552262,1711821746.3732042,1711821746.4517837,0.07857942581176758
"[0.6783034806282328, 0]",-871,871.6783034806282,1711821746.5713744,1711821746.6509182,0.0795438289642334
"[0.6781210521480341, 0]",-871,871.6781210521481,1711821746.7034929,1711821746.782521,0.07902812957763672
"[0.6736854048026377, 0]",-871,871.6736854048027,1711821746.8350801,1711821746.9151807,0.08010053634643555
"[0.6749139718033447, 0]",-871,871.6749139718033,1711821747.0602822,1711821747.138118,0.0778357982635498
"[0.676648277356125, 0]",-871,871.6766482773561,1711821747.1876771,1711821747.2667005,0.07902336120605469
"[0.676534493458558, 0]",-871,871.6765344934586,1711821747.316271,1711821747.3998532,0.08358216285705566
"[0.6745939029102195, 0]",-871,871.6745939029103,1711821747.47287,1711821747.5514293,0.07855916023254395
"[0.6742224704916395, 0]",-871,871.6742224704916,1711821747.600963,1711821747.6838725,0.08290934562683105
"[0.6754705066743504, 0]",-871,871.6754705066744,1711821747.7385042,1711821747.8185835,0.08007931709289551
"[0.6746185302014764, 0]",-871,871.6746185302014,1711821747.8725073,1711821747.9520943,0.07958698272705078
"[0.6775023825363233, 0]",-871,871.6775023825363,1711821748.0491667,1711821748.1316903,0.08252358436584473
"[0.6757790390121995, 0]",-871,871.6757790390122,1711821748.1807373,1711821748.2592838,0.07854652404785156
"[0.6762101718124266, 0]",-871,871.6762101718124,1711821748.3523047,1711821748.4341283,0.08182358741760254
"[0.6765686581276672, 0]",-871,871.6765686581276,1711821748.4841688,1711821748.5647218,0.08055305480957031
"[0.6774801149906055, 0]",-871,871.6774801149907,1711821748.6152763,1711821748.6950777,0.07980132102966309
"[0.6767279935226103, 0]",-871,871.6767279935226,1711821748.7492437,1711821748.8296213,0.08037757873535156
"[0.6756029488867055, 0]",-871,871.6756029488866,1711821748.8793468,1711821748.961896,0.0825490951538086
"[0.6743501677911873, 0]",-871,871.6743501677912,1711821749.0138245,1711821749.0927627,0.07893824577331543
"[0.675009798725154, 0]",-871,871.6750097987251,1711821749.1431959,1711821749.223409,0.08021306991577148
"[0.6745454027357516, 0]",-871,871.6745454027357,1711821749.3128011,1711821749.391386,0.07858490943908691
"[0.6726480432749349, 0]",-871,871.672648043275,1711821749.4414027,1711821749.5189826,0.07757997512817383
"[0.676642835483619, 0]",-871,871.6766428354836,1711821749.5680065,1711821749.6488862,0.08087968826293945
"[0.6739237260857914, 0]",-871,871.6739237260858,1711821749.7686179,1711821749.8486097,0.07999181747436523
"[0.6731238491825322, 0]",-871,871.6731238491825,1711821749.8972142,1711821749.9772553,0.08004117012023926
"[0.6741174665393725, 0]",-871,871.6741174665394,1711821750.0311882,1711821750.1096108,0.07842254638671875
"[0.6754473885079938, 0]",-871,871.675447388508,1711821750.2302911,1711821750.3078837,0.07759261131286621
"[0.6784506334392417, 0]",-871,871.6784506334393,1711821750.356895,1711821750.4383073,0.08141231536865234
"[0.6862189470750514, 0]",-871,871.6862189470751,1711821750.4888127,1711821750.5680683,0.07925558090209961
"[0.6714523011389105, 0]",-871,871.6714523011389,1711821750.6869226,1711821750.764478,0.07755541801452637
"[0.6792217949825975, 0]",-871,871.6792217949826,1711821750.841071,1711821750.919643,0.07857203483581543
"[0.6827621756257652, 0]",-871,871.6827621756257,1711821750.968654,1711821751.0471678,0.07851386070251465
"[0.6733587681516296, 0]",-871,871.6733587681516,1711821751.1627681,1711821751.2425356,0.07976746559143066
"[0.6828650693688053, 0]",-871,871.6828650693689,1711821751.2941432,1711821751.375156,0.08101272583007812
"[0.6775811156301872, 0]",-871,871.6775811156302,1711821751.4247386,1711821751.503311,0.07857227325439453
"[0.6732193387661899, 0]",-871,871.6732193387662,1711821751.5959086,1711821751.6750135,0.07910490036010742
"[0.6748838678355867, 0]",-871,871.6748838678355,1711821751.7246058,1711821751.8031814,0.07857561111450195
"[0.6761538371367284, 0]",-871,871.6761538371368,1711821751.8535137,1711821751.9320936,0.07857990264892578
"[0.6759648068038423, 0]",-871,871.6759648068038,1711821752.0581558,1711821752.1367445,0.07858872413635254
"[0.6757231458900333, 0]",-871,871.6757231458901,1711821752.1867652,1711821752.2643502,0.07758498191833496
"[0.6748378862931327, 0]",-871,871.6748378862932,1711821752.3149245,1711821752.3969736,0.08204913139343262
"[0.6752310407429906, 0]",-871,871.675231040743,1711821752.5175896,1711821752.596357,0.07876753807067871
"[0.6772048724843543, 0]",-871,871.6772048724844,1711821752.6483736,1711821752.7259533,0.07757973670959473
"[0.6746052653703961, 0]",-871,871.6746052653704,1711821752.7779658,1711821752.8590853,0.08111953735351562
"[0.675003086532373, 0]",-871,871.6750030865323,1711821752.9781392,1711821753.0602236,0.08208441734313965
"[0.6748056607477437, 0]",-871,871.6748056607478,1711821753.1113572,1711821753.191057,0.07969975471496582
"[0.6737580670551799, 0]",-871,871.6737580670551,1711821753.2406108,1711821753.3201816,0.07957077026367188
"[0.675065873602813, 0]",-871,871.6750658736028,1711821753.439739,1711821753.518328,0.07858896255493164
"[0.6727104403761757, 0]",-871,871.6727104403761,1711821753.57132,1711821753.6509037,0.07958364486694336
"[0.6759123559939889, 0]",-871,871.675912355994,1711821753.7047145,1711821753.7855527,0.08083820343017578
