distance,linear_encoder_position,measurement_delta,linear_encoder_timestamp,distance_timestamp,measurement_time_delta
"[0.6939023411119649, 0]",-12529,12529.693902341112,1711823038.6355505,1711823038.6272569,0.008293628692626953
"[0.6879302699275949, 0]",-12529,12529.687930269927,1711823038.9894571,1711823038.9845276,0.004929542541503906
"[0.6854951056413587, 0]",-12529,12529.685495105641,1711823039.1317868,1711823039.1277955,0.003991365432739258
"[0.683152846879997, 0]",-12529,12529.68315284688,1711823039.2826104,1711823039.281603,0.0010073184967041016
"[0.6899884231126425, 0]",-12529,12529.689988423113,1711823039.4247868,1711823039.4173503,0.007436513900756836
"[0.6834506923294503, 0]",-12529,12529.68345069233,1711823039.5764194,1711823039.569202,0.0072174072265625
"[0.684089644960782, 0]",-12529,12529.684089644961,1711823039.749215,1711823039.738501,0.010713815689086914
"[0.7003569123554242, 0]",-12529,12529.700356912355,1711823039.8907712,1711823039.8860025,0.0047686100006103516
"[0.6876795063234565, 0]",-12529,12529.687679506324,1711823040.0316818,1711823040.0309365,0.0007452964782714844
"[0.685966270843425, 0]",-12529,12529.685966270843,1711823040.234874,1711823040.2254133,0.009460687637329102
"[0.6862641952084748, 0]",-12528,12528.686264195208,1711823040.3863926,1711823040.3779137,0.008478879928588867
"[0.6896484391823648, 0]",-12311,12311.689648439182,1711823040.6092358,1711823040.6018546,0.0073812007904052734
"[0.7012389092277784, 0]",-11996,11996.701238909227,1711823040.7400274,1711823040.7370384,0.002989053726196289
"[0.6830031444986752, 0]",-11562,11562.683003144499,1711823040.8720615,1711823040.8700085,0.0020530223846435547
"[0.684012307684816, 0]",-11023,11023.684012307685,1711823041.064304,1711823041.0618055,0.002498626708984375
"[0.7138848888858844, 0]",-10712,10712.713884888886,1711823041.2058806,1711823041.1964252,0.009455442428588867
"[0.6823819241630743, 0]",-10432,10432.682381924164,1711823041.3367677,1711823041.3357608,0.0010068416595458984
"[0.6850455723554822, 0]",-10055,10055.685045572356,1711823041.530116,1711823041.52102,0.009096145629882812
"[0.7235019727767036, 0]",-10026,10026.723501972776,1711823041.660977,1711823041.6589766,0.0020003318786621094
"[0.6847302981703612, 0]",0,0.6847302981703612,1711823041.7930899,1711823041.7910879,0.0020020008087158203
"[0.6853345614774276, 0]",-9487,9487.685334561478,1711823041.9753168,1711823041.9744463,0.0008704662322998047
"[0.724176059392085, 0]",-9043,9043.724176059392,1711823042.1167843,1711823042.1080909,0.008693456649780273
"[0.7225636928714672, 0]",-8708,8708.72256369287,1711823042.2592342,1711823042.2509732,0.008260965347290039
"[0.6805023192404519, 0]",-8231,8231.680502319241,1711823042.4409983,1711823042.4384775,0.0025207996368408203
"[0.7853626317143724, 0]",7717,7716.214637368285,1711823042.5728807,1711823042.5708997,0.001981019973754883
"[0.6816180694973059, 0]",-7315,7315.681618069498,1711823042.734893,1711823042.7292447,0.005648374557495117
"[0.7053736270786417, 0]",-7315,7315.705373627078,1711823042.9174957,1711823042.906965,0.010530710220336914
"[0.6829642545109957, 0]",-7315,7315.682964254511,1711823043.0598233,1711823043.0512152,0.008608102798461914
"[0.7134394453692935, 0]",-7260,7260.71343944537,1711823043.191316,1711823043.1870809,0.004235029220581055
"[0.7256906861773365, 0]",-6581,6581.725690686178,1711823043.3844235,1711823043.376551,0.007872581481933594
"[0.7372646544330419, 0]",-5869,5869.737264654433,1711823043.5158136,1711823043.5139291,0.00188446044921875
"[0.7061133655115597, 0]",-5184,5184.706113365512,1711823043.6475298,1711823043.6451957,0.002334117889404297
"[0.6863844563340172, 0]",-4347,4347.686384456334,1711823043.8302877,1711823043.8204427,0.00984501838684082
"[0.7033375483167102, 0]",3914,3913.2966624516835,1711823043.9619837,1711823043.9609783,0.001005411148071289
"[0.6849708160636512, 0]",-3383,3383.6849708160635,1711823044.1042018,1711823044.0992148,0.004987001419067383
"[0.6975257390055236, 0]",-2825,2825.6975257390054,1711823044.286416,1711823044.2822924,0.004123687744140625
"[0.6853445796957343, 0]",-2824,2824.6853445796955,1711823044.4282427,1711823044.4180732,0.010169506072998047
"[0.6835292399705484, 0]",-2824,2824.6835292399705,1711823044.569514,1711823044.5598593,0.009654760360717773
"[0.6863812105461407, 0]",-2470,2470.686381210546,1711823044.7417662,1711823044.737675,0.0040912628173828125
"[0.683997376561234, 0]",-2034,2034.6839973765611,1711823044.8738077,1711823044.87074,0.0030677318572998047
"[0.6990798875532303, 0]",-1833,1833.6990798875531,1711823045.005256,1711823045.003254,0.0020020008087158203
"[0.6932401492453739, 0]",-1634,1634.6932401492454,1711823045.186699,1711823045.181743,0.00495600700378418
"[0.7031499920482601, 0]",-1290,1290.7031499920483,1711823045.3291695,1711823045.319322,0.009847402572631836
"[0.6937861207893582, 0]",-934,934.6937861207894,1711823045.4712207,1711823045.4619417,0.009279012680053711
"[0.6859559383519408, 0]",-744,744.685955938352,1711823045.6524527,1711823045.647452,0.005000591278076172
"[0.6931893250431805, 0]",-569,569.6931893250431,1711823045.7946491,1711823045.7876427,0.007006406784057617
"[0.6841179397863416, 0]",-229,229.68411793978635,1711823045.9356382,1711823045.9282627,0.007375478744506836
"[0.6887296601414837, 0]",-144,144.6887296601415,1711823046.1289935,1711823046.1178365,0.011157035827636719
"[0.6867121235988279, 0]",-144,144.68671212359882,1711823046.2603056,1711823046.2579002,0.002405405044555664
"[0.6879417315404167, 0]",-142,142.6879417315404,1711823046.3915246,1711823046.3895116,0.002012968063354492
"[0.6925216573601756, 0]",-357,357.6925216573602,1711823046.5737712,1711823046.5648136,0.008957624435424805
"[0.68537227439308, 0]",-358,358.6853722743931,1711823046.7458873,1711823046.7371683,0.00871896743774414
"[0.6891917913445502, 0]",-358,358.68919179134457,1711823046.877919,1711823046.8736374,0.004281520843505859
"[0.6976245788445774, 0]",-379,379.69762457884457,1711823047.0598679,1711823047.0537882,0.006079673767089844
"[0.701110345217662, 0]",-379,379.70111034521767,1711823047.2017431,1711823047.1909788,0.010764360427856445
"[0.7051145093687193, 0]",-378,378.70511450936874,1711823047.3328464,1711823047.3288684,0.00397801399230957
"[0.6893225650439823, 0]",313,312.310677434956,1711823047.504702,1711823047.5021343,0.002567768096923828
"[0.7034512205365201, 0]",1817,1816.2965487794636,1711823047.6446326,1711823047.6363208,0.008311748504638672
"[0.6972430889839913, 0]",3227,3226.302756911016,1711823047.7849422,1711823047.7748094,0.010132789611816406
"[0.6889597750738204, 0]",5240,5239.311040224926,1711823047.9656258,1711823047.9628556,0.0027701854705810547
