distance,linear_encoder_position,measurement_delta,linear_encoder_timestamp,distance_timestamp,measurement_time_delta
"[0.7151948521322804, 0]",27888,27887.28480514787,1711819226.0781767,1711819226.1570256,0.07884883880615234
"[0.727742212843231, 0]",27888,27887.272257787157,1711819226.5058355,1711819226.5906262,0.08479070663452148
"[0.723327082434815, 0]",27888,27887.276672917564,1711819226.9900212,1711819227.0751035,0.0850822925567627
"[0.7253423976867885, 0]",27888,27887.274657602313,1711819227.2328432,1711819227.3150382,0.08219504356384277
"[0.7075769241394704, 0]",27888,27887.29242307586,1711819227.6849709,1711819227.7639859,0.07901501655578613
"[0.7154700649532765, 0]",27888,27887.28452993505,1711819228.5278914,1711819228.6098275,0.08193612098693848
"[0.731427351715795, 0]",27888,27887.268572648285,1711819228.826209,1711819228.9074757,0.08126664161682129
"[0.7121716153143011, 0]",27888,27887.287828384684,1711819229.2843943,1711819229.3627455,0.07835125923156738
"[0.7376240382442508, 0]",27888,27887.262375961756,1711819229.8225553,1711819229.901781,0.07922577857971191
"[0.7160232305547024, 0]",27888,27887.283976769446,1711819230.198245,1711819230.278059,0.07981395721435547
"[0.7322018501020612, 0]",27888,27887.267798149896,1711819230.6568258,1711819230.7347908,0.07796502113342285
"[0.8034797970405028, 0]",27888,27887.19652020296,1711819230.7872682,1711819230.8689554,0.08168721199035645
"[0.7331438376799353, 0]",27888,27887.26685616232,1711819231.1955173,1711819231.2746978,0.07918047904968262
"[0.7482111679223635, 0]",27888,27887.251788832076,1711819231.7473247,1711819231.8253655,0.07804083824157715
"[0.7113320485242249, 0]",27888,27887.288667951474,1711819232.1931221,1711819232.2717004,0.07857823371887207
"[0.7799846517895513, 0]",27888,27887.22001534821,1711819232.5770962,1711819232.655303,0.07820677757263184
"[0.7068194875488951, 0]",27888,27887.29318051245,1711819232.707089,1711819232.787718,0.08062911033630371
"[0.7194525647377756, 0]",27888,27887.28054743526,1711819233.2039387,1711819233.284863,0.08092427253723145
"[0.7287113994959471, 0]",27888,27887.271288600503,1711819234.33441,1711819234.4150486,0.08063864707946777
"[0.7121114297327382, 0]",27888,27887.287888570267,1711819235.251245,1711819235.3312798,0.08003473281860352
"[0.7289309230476326, 0]",27888,27887.271069076953,1711819237.551157,1711819237.6295245,0.07836747169494629
"[0.6938137246481577, 0]",27888,27887.306186275353,1711819237.6850803,1711819237.7682436,0.08316326141357422
"[0.6981038440008109, 0]",27888,27887.301896155997,1711819237.8220863,1711819237.9006622,0.07857584953308105
"[0.7033955350960039, 0]",27888,27887.296604464904,1711819238.0071642,1711819238.0857053,0.07854104042053223
"[0.7225889603992592, 0]",27888,27887.277411039602,1711819238.1417344,1711819238.2215278,0.07979345321655273
"[0.6998983332189682, 0]",27888,27887.30010166678,1711819238.3010962,1711819238.3815463,0.08045005798339844
"[0.718063976473571, 0]",27888,27887.281936023526,1711819238.4969554,1711819238.5765162,0.07956075668334961
"[0.7231837424651749, 0]",27888,27887.276816257534,1711819238.630551,1711819238.7091446,0.07859349250793457
"[0.7070277360220993, 0]",27888,27887.29297226398,1711819238.7622716,1711819238.8414464,0.07917475700378418
"[0.711375312412347, 0]",27888,27887.288624687586,1711819238.9199245,1711819238.9991302,0.07920575141906738
"[0.7049616125417769, 0]",27888,27887.29503838746,1711819239.0537198,1711819239.133743,0.08002328872680664
"[0.7113900867417338, 0]",27888,27887.28860991326,1711819239.1882646,1711819239.2668443,0.07857966423034668
"[0.7144573477490296, 0]",27888,27887.28554265225,1711819243.5220068,1711819243.6011,0.07909321784973145
"[0.692940101175195, 0]",27888,27887.307059898823,1711819243.6542482,1711819243.7339675,0.07971930503845215
"[0.6903269832083277, 0]",27888,27887.309673016793,1711819243.7875297,1711819243.8679461,0.08041644096374512
"[0.7204442846471358, 0]",27888,27887.27955571535,1711819244.0663936,1711819244.1463757,0.07998204231262207
"[0.7051748095284041, 0]",27888,27887.29482519047,1711819244.2009008,1711819244.2794743,0.07857346534729004
"[0.6981741119167278, 0]",27888,27887.301825888084,1711819244.3358662,1711819244.4148312,0.0789649486541748
"[0.6946378803334712, 0]",27888,27887.305362119667,1711819244.6390262,1711819244.7175865,0.07856035232543945
"[0.6777622256060849, 0]",27888,27887.322237774395,1711819247.6573875,1711819247.7355213,0.07813382148742676
"[0.7010955245188106, 0]",27888,27887.29890447548,1711819248.7397642,1711819248.8193426,0.07957839965820312
