distance,linear_encoder_position,measurement_delta,linear_encoder_timestamp,distance_timestamp,measurement_time_delta
"[0.7417269447349186, 0]",-881,881.7417269447349,1711821686.9550323,1711821687.033723,0.07869076728820801
"[0.713479484549093, 0]",-881,881.7134794845491,1711821687.2985978,1711821687.379045,0.08044719696044922
"[0.7077562337235725, 0]",-881,881.7077562337236,1711821687.4424517,1711821687.5404778,0.09802603721618652
"[0.7067859871285659, 0]",-881,881.7067859871286,1711821687.8141356,1711821687.894073,0.07993745803833008
"[0.7156564585855649, 0]",-881,881.7156564585856,1711821687.9521513,1711821688.0320702,0.07991886138916016
"[0.7098010767699859, 0]",-881,881.70980107677,1711821688.0966516,1711821688.1791356,0.08248400688171387
"[0.7061902725279694, 0]",-881,881.7061902725279,1711821688.291964,1711821688.3761306,0.0841665267944336
"[0.6942827947044437, 0]",-881,881.6942827947045,1711821688.4289703,1711821688.509642,0.08067154884338379
"[0.7209850580758241, 0]",-881,881.7209850580758,1711821688.5646539,1711821688.646223,0.08156919479370117
"[0.7045982966341522, 0]",-881,881.7045982966341,1711821688.72678,1711821688.808961,0.08218097686767578
"[0.7189072008393248, 0]",-881,881.7189072008393,1711821688.864268,1711821688.9459128,0.08164477348327637
"[0.6993281948816817, 0]",-881,881.6993281948817,1711821688.9970481,1711821689.077125,0.08007693290710449
"[0.7178265209100055, 0]",-881,881.71782652091,1711821689.185229,1711821689.2647142,0.07948517799377441
"[0.7064191851715438, 0]",-881,881.7064191851715,1711821689.3173397,1711821689.3957486,0.07840895652770996
"[0.7114311502220323, 0]",-881,881.711431150222,1711821689.446917,1711821689.5296297,0.08271265029907227
"[0.7162984471119757, 0]",-881,881.716298447112,1711821689.6443229,1711821689.7311249,0.08680200576782227
"[0.71316532241937, 0]",-881,881.7131653224194,1711821689.7865465,1711821689.868116,0.08156943321228027
"[0.7154829603062393, 0]",-881,881.7154829603062,1711821689.9260774,1711821690.0062788,0.08020138740539551
"[0.7074603386929267, 0]",-881,881.707460338693,1711821690.1122825,1711821690.1915443,0.07926177978515625
"[0.7027590139446857, 0]",-881,881.7027590139447,1711821690.244917,1711821690.325853,0.08093619346618652
"[0.7111269962876119, 0]",-881,881.7111269962876,1711821690.37708,1711821690.458624,0.0815439224243164
"[0.7071472830637964, 0]",-881,881.7071472830638,1711821690.5690708,1711821690.652906,0.08383512496948242
"[0.7078791912168598, 0]",-881,881.7078791912169,1711821690.7031548,1711821690.7837121,0.08055734634399414
"[0.7188428506286745, 0]",-881,881.7188428506287,1711821690.836261,1711821690.9158607,0.07959961891174316
"[0.7095655105626013, 0]",-881,881.7095655105626,1711821691.0255356,1711821691.10557,0.08003449440002441
"[0.7058957157974317, 0]",-881,881.7058957157974,1711821691.1841161,1711821691.264818,0.08070182800292969
"[0.706727504448769, 0]",-881,881.7067275044487,1711821691.3158717,1711821691.3939083,0.07803654670715332
"[0.7026271558129431, 0]",-881,881.7026271558129,1711821691.4659853,1711821691.5454772,0.07949185371398926
"[0.6948569860071151, 0]",-881,881.6948569860072,1711821691.5954938,1711821691.6750665,0.07957267761230469
"[0.6977778648495321, 0]",-881,881.6977778648495,1711821691.7286227,1711821691.8066635,0.07804083824157715
"[0.7044895863715325, 0]",-881,881.7044895863716,1711821691.9230437,1711821692.0032578,0.08021402359008789
